id,contentdm_id,local_id,permanent_url,creator,date,description,extent,format,issue_number,language,rights,series,spatial,subject,title,type,volume
4d29bfb8-59af-429f-b53b-9b38d7b4d1e9,p15957coll13/id/74073,dchnp44026,https://idn.duke.edu/ark:/87924/r4bk1d09q,"Chronicle (Durham, N.C.)",1944-04-14,,4 pages,newspapers|periodicals,24,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 40, no. 24 (Friday, April 14, 1944)",Text,40
50438592-3ea1-4da7-9566-31f6458f3c6f,p15957coll13/id/68501,dchnp44027,https://idn.duke.edu/ark:/87924/r4pv6gz8c,"Chronicle (Durham, N.C.)",1944-04-21,,4 pages,newspapers|periodicals,25,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 40, no. 25 (Friday, April 21, 1944)",Text,40
d8b9d324-c9e8-4985-9e42-361c55cbae4a,p15957coll13/id/68566,dchnp44028,https://idn.duke.edu/ark:/87924/r4gh9hh2w,"Chronicle (Durham, N.C.)",1944-04-28,,4 pages,newspapers|periodicals,26,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 40, no. 26 (Friday, April 28, 1944)",Text,40
762a52bd-5868-4213-a7a1-76c40cdacf30,p15957coll13/id/68631,dchnp44029,https://idn.duke.edu/ark:/87924/r4hd7tm6d,"Chronicle (Durham, N.C.)",1944-05-05,,4 pages,newspapers|periodicals,27,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 40, no. 27 (Friday, May 5, 1944)",Text,40
81430bb5-9641-4f39-812d-a928d74e291b,p15957coll13/id/68636,dchnp44030,https://idn.duke.edu/ark:/87924/r4hm5781s,"Chronicle (Durham, N.C.)",1944-05-12,,4 pages,newspapers|periodicals,28,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 40, no. 28 (Friday, May 12, 1944)",Text,40
241267c9-6fde-4a90-ac03-3a0b4ea2f40a,p15957coll13/id/68621,dchnp45001,https://idn.duke.edu/ark:/87924/r40868c48,"Chronicle (Durham, N.C.)",1944-09-22,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,1,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 1 (Friday, September 22, 1944)",Text,41
86d957f0-2ce2-4787-b478-0a169729dfc7,p15957coll13/id/68626,dchnp45002,https://idn.duke.edu/ark:/87924/r4vx0cs2z,"Chronicle (Durham, N.C.)",1944-09-29,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,2,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 2 (Friday, September 29, 1944)",Text,41
2e2ff88b-505c-4887-b57d-d35c18adbaad,p15957coll13/id/68641,dchnp45003,https://idn.duke.edu/ark:/87924/r4ns0rv9j,"Chronicle (Durham, N.C.)",1944-10-06,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,3,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 3 (Friday, October 6, 1944)",Text,41
fe563488-1d91-4ca0-bd4c-91758720b8f3,p15957coll13/id/68656,dchnp45004,https://idn.duke.edu/ark:/87924/r46d5vt40,"Chronicle (Durham, N.C.)",1944-10-13,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,4,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 4 (Friday, October 13, 1944)",Text,41
1709c9ca-8d35-4d32-9698-f2f5adc1222b,p15957coll13/id/68661,dchnp45005,https://idn.duke.edu/ark:/87924/r4q52mz6z,"Chronicle (Durham, N.C.)",1944-11-03,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,5,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 5 (Friday, November 3, 1944)",Text,41
21e85e31-41df-40ce-a73b-fa5346e99b5c,p15957coll13/id/68646,dchnp45006,https://idn.duke.edu/ark:/87924/r4r20z569,"Chronicle (Durham, N.C.)",1944-11-10,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,6,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 6 (Friday, November 10, 1944)",Text,41
a8f5a8ba-ec72-4954-8928-9d9a7057dcc5,p15957coll13/id/68651,dchnp45007,https://idn.duke.edu/ark:/87924/r4sb42q7s,"Chronicle (Durham, N.C.)",1944-11-17,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,7,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 7 (Friday, November 17, 1944)",Text,41
b45137b4-c5a5-4158-b5bc-268d505f9b1e,p15957coll13/id/68616,dchnp45008,https://idn.duke.edu/ark:/87924/r4td9t02z,"Chronicle (Durham, N.C.)",1944-11-23,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,8,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 8 (Thursday, November 23, 1944)",Text,41
d881f1c5-f95e-4ef8-a2a1-81150c17290d,p15957coll13/id/68581,dchnp45009,https://idn.duke.edu/ark:/87924/r4ww7ds4z,"Chronicle (Durham, N.C.)",1944-12-01,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,9,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 9 (Friday, December 1, 1944)",Text,41
8c5f340b-eb6d-4f48-b8d3-3dab8c7b56ba,p15957coll13/id/68586,dchnp45010,https://idn.duke.edu/ark:/87924/r44q7wk50,"Chronicle (Durham, N.C.)",1944-12-08,No volume number given so a number was assigned sequentially. Omicron Delta Kappa frat symbol is printed in blue on front cover.,4 pages,newspapers|periodicals,10,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 10 (Friday, December 8, 1944)",Text,41
6342610a-2347-4209-a169-648eb838cb67,p15957coll13/id/68571,dchnp45011,https://idn.duke.edu/ark:/87924/r4862h83m,"Chronicle (Durham, N.C.)",1944-12-15,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,11,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 11 (Friday, December 15, 1944)",Text,41
8a891554-4068-4f94-8bf5-0c689366753b,p15957coll13/id/68576,dchnp45012,https://idn.duke.edu/ark:/87924/r4f47p514,"Chronicle (Durham, N.C.)",1945-01-12,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,12,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 12 (Friday, January 12, 1945)",Text,41
179b79e1-1d2c-491b-887d-0d8927f583e5,p15957coll13/id/68591,dchnp45013,https://idn.duke.edu/ark:/87924/r40k2cd8g,"Chronicle (Durham, N.C.)",1945-01-19,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,13,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 13 (Friday, January 19, 1945)",Text,41
6524f975-8762-4508-95c3-484121b1ed23,p15957coll13/id/68606,dchnp45014,https://idn.duke.edu/ark:/87924/r4xk8b67j,"Chronicle (Durham, N.C.)",1945-01-26,No volume number given so a number was assigned sequentially.,4 pages,newspapers|periodicals,14,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Duke Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Duke Chronicle, vol. 41, no. 14 (Friday, January 26, 1945)",Text,41
